course_name,lecture_name,review_rating,review_comment
"A/B Testing in Python","How to set up the A/B test",5,"If she could provide more details about the process, that would be great! For example, how to calculate the MDE, she showed us the stat summary of the daily active users and CTR, respectively. But she did not how to convert it to the % increase. She just said this equals to approximately a 0.33% increase. "
"A/B Testing in Python","How to set up the A/B test",5,nice
"A/B Testing in Python","How to set up the A/B test",5,"excellent course"
"A/B Testing in Python","How to set up the A/B test",5,nice
"A/B Testing in Python",Conclusion,5,"It was an experiential learning process"
"A/B Testing in Python","How to set up the A/B test",5,"great
"
"A/B Testing in Python","How to set up the A/B test",5,"Perfect, excellent
"
"A/B Testing in Python","How to set up the A/B test",5,Great
"A/B Testing in Python","How to set up the A/B test",5,"Excellent "
"A/B Testing in Python",Conclusion,5,great
"A/B Testing in Python","How to set up the A/B test",5,"A scientific way to make decision minus the human bias. Useful for my projects that utilizes surveys for decision making. "
"A/B Testing in Python",Conclusion,5,Excellent
"A/B Testing in Python","How to set up the A/B test",5,Good
"A/B Testing in Python","How to set up the A/B test",5,"Excellent course for A/B testing!
"
"A/B Testing in Python",Conclusion,5,"Calm and composed instructor, learned a lot. Thanks. "
"A/B Testing in Python",Conclusion,5,perfect
"A/B Testing in Python","How to set up the A/B test",5,Best
"A/B Testing in Python","How to set up the A/B test",5,-
"A/B Testing in Python",Conclusion,5,"clear explanation that is well connected to the statistical theory, with a simple worked example of concrete calculations of metrics and statistics"
"A/B Testing in Python","How to set up the A/B test",5,"it's a great course. however, there should be a note at the beginning to mention the prerequisites for this course as it has some statistics methodologies. also, they should recommend some other courses and books, and articles through the videos for further reading and understanding.  "
"A/B Testing in Python","How to set up the A/B test",5,"Its E2E good course for AB testing "
"A/B Testing in Python","How to set up the A/B test",5,good
"A/B Testing in Python","How to set up the A/B test",5,"The course is on pace, I like the way the tutor explains the concepts. "
"A/B Testing in Python","How to set up the A/B test",5,"Great!!!
"
"A/B Testing in Python","How to set up the A/B test",5,"Clear, concise and loaded with practical insights."
"A/B Testing in Python",Conclusion,5,"This was a great intro to A/B Testing. Although I'm just a beginner the course put forward a great base to practice and learn further. The instructor specking about the thought process when doing the process was particularly helpful."
"A/B Testing in Python",Conclusion,5,"I really loved it!"
"A/B Testing in Python","How to set up the A/B test",5,"Clear, concise and very well structured! Goes straight to the point for people working in ecommerce, digital products,etc.."
"A/B Testing in Python",Conclusion,5,"Excellent "
"A/B Testing in Python",Conclusion,5,"Excellent and more informatic course."
"A/B Testing in Python","How to set up the A/B test",5,"nice course"
"A/B Testing in Python","How to set up the A/B test",5,"Excellent "
"A/B Testing in Python","How to set up the A/B test",5,Excellent!
"A/B Testing in Python",Conclusion,5,"I'm an experienced professional and this course was perfect for me to understand AB testing better. Thanks to course team!"
"A/B Testing in Python","How to set up the A/B test",5,"Finally found the place to understand A/B Testing. This course is just excellently made ...!!!. Thanks 365-datascience.."
"A/B Testing in Python","How to set up the A/B test",5,"Good "
"A/B Testing in Python","How to set up the A/B test",5,"great course, but it would be have been much better if get to know to code these in python"
"A/B Testing in Python",Conclusion,5,"It was thoroughly informative and took me through a first hand experience on A/B Testing. A suggestion if the case study/example is a little more rounded then it'll surely pack a punch!"
"A/B Testing in Python",Conclusion,5,"Great Course!"
"A/B Testing in Python","How to set up the A/B test",5,"Nicely explained , Many example through we understand and please  increase instructor voice "
"A/B Testing in Python",Conclusion,5,"very nice course"
"A/B Testing in Python","How to set up the A/B test",5,"informative and engaging"
"A/B Testing in Python","How to set up the A/B test",5,"It is an excellent course."
"A/B Testing in Python",Conclusion,5,"best video..."
"A/B Testing in Python","How to set up the A/B test",5,"Super Excited for this Course"
"A/B Testing in Python",Conclusion,5,AMAZING
"A/B Testing in Python","How to set up the A/B test",5,Amazing
"A/B Testing in Python","How to set up the A/B test",5,Good
"A/B Testing in Python","How to set up the A/B test",5,"I am learning and enjoying this course! 
"
"A/B Testing in Python","How to set up the A/B test",5,"Great content and explanation!"
"A/B Testing in Python","How to set up the A/B test",5,"Simple, clear and very informative."
"A/B Testing in Python","How to set up the A/B test",5,"I like the fact that everything is so simple to understand "
"A/B Testing in Python","How to set up the A/B test",5,"Very didactic 👍"
"A/B Testing in Python",Conclusion,5,"great course
"
"A/B Testing in Python",Conclusion,4,"Good but more projects needed."
"A/B Testing in Python","How to set up the A/B test",4,"It s very detailed course, the instructor is having the right info and the calm tone  "
"A/B Testing in Python",Conclusion,4,"Great course, the teacher is very confident and pleasant. I think there should be a bit more examples with coding. "
"A/B Testing in Python","How to set up the A/B test",4,"you can add programming practice for learning more effective"
"A/B Testing in Python",Conclusion,3,"Ok. Not the best way to learn for me, personally. Too much theory and not enough practice."
"A/B Testing in Python","How to set up the A/B test",3,"no mathematical depth"
"A/B Testing in Python",Conclusion,3,"Some course material like a PDF should have been provided instead of just providing Python notebooks and related datasets. Otherwise, the course is good"
"A/B Testing in Python",Conclusion,2,"I wanted to complete at least a practical project"
"A/B Testing in Python",Conclusion,2,"It is mostly a theoretical course rather than practicing, need more use cases"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Learning a lot in well demonstrated videos"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,Excellent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellent, exceeded my expectations!

"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellent "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"The content is explained very well and can be easily understood by individuals who do not work in financial accounting and do not speak English on a daily basis."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"This course is awesome "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"very good course"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"great
"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,Good
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Great, "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,Amazing
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Very good constant "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,excellent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellent "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Easy to learn and love the bite sized format"
"Accounting and Financial Statement Analysis",Congratulations!,5,excelent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"It is very useful and add huge knowledge through discussing main aspects in accounting and finance to help the business information stakeholdrs understand how they efficiently work andwhat are the right decisions we have to take and protect us from the companies fraud."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Amazing course with easy to understand lectures."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Follow maintenance, fuel consumption, and annual inspection and insurance policy renewal of each vehicles"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,excellent
"Accounting and Financial Statement Analysis",Congratulations!,5,excellent
"Accounting and Financial Statement Analysis",Congratulations!,5,"Excellent "
"Accounting and Financial Statement Analysis",Congratulations!,5,"It's so nice and very useful to me. Totally superbb..."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,good
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Great Course learning a lot"
"Accounting and Financial Statement Analysis",Congratulations!,5,"good
"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Exceeded my expectations"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"It is informative "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"it is valuable and Excellent"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,Remarkable
"Accounting and Financial Statement Analysis",Congratulations!,5,"Great introduction course to Accounting and Finance."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,Excellent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Thanks for sharing this course. I learned a lot."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"useful & excellent
"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"The course materials should be labelled properly. The presentation is good "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Yes excellent and interesting "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,Nice
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"I have been looking for a teaching so practical as this."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Very good materials"
"Accounting and Financial Statement Analysis",Congratulations!,5,"Great and explanatory"
"Accounting and Financial Statement Analysis",Congratulations!,5,"that was really nice cource....
"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Course is amazing and high quality. This is a value added course."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"This is very detailed, I am enjoying it. Please keep it up!"
"Accounting and Financial Statement Analysis",Congratulations!,5,"Good but I need a certificate"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Very use full and very easy to understand "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"This Course is really helpful for having a basic idea about Accounting system and Accounting procedure "
"Accounting and Financial Statement Analysis",Congratulations!,5,"It was an excellent course with lot of Financial Knowledge which had enhanced my Financial knowledge "
"Accounting and Financial Statement Analysis",Congratulations!,5,"VERY HELPFUL BUT I WISH THERE IS UNLIMITED TIME FOR FREE LESSON FOR ME, AS I AM BUSY WITH WORK SO I DO NOT HAVE ENOUGH TIME TO STUDY IN SUCH SHORT TIME, THANK YOU"
"Accounting and Financial Statement Analysis",Congratulations!,5,excellent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Great "
"Accounting and Financial Statement Analysis","Building a Cash Flow Statement in Practice",5,yes
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Explicit so far
Refreshed memory and good delivery "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Really Insightful. "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,excellent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"It's a great course with a vast knowledge of Finance area. Helps even for non professional Finance people to get in depth knowledge. Thanks for providing such a free course. "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellent 

"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,Excellent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Just beautiful! so ell explained even for a beginner!!!"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"This course is really amazing, highly recommed."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"It was a great. I am really enjoying it "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Great Learning Experience."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Quite informative "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Insightful "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Deep explanations, thanks for detailed teaching"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"excellent "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"It is very straight to the point and easy to understand/follow."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,good
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"learning so much and I am here for just pure knowledge."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Exceeded my expectations "
"Accounting and Financial Statement Analysis",Congratulations!,5,"Very very good course structure & amazing teaching style, also contains knowledgeable practical resources. Better than expectations. Thank u 365 Financial Analyst"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Wonderful course very helpful for finance basics"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellently organized"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"The course is simple and easily to learn. Most importantly, it gives extremely easy to absorb explanation of Finance and accounting concepts...."
"Accounting and Financial Statement Analysis","Building a Cash Flow Statement in Practice",5,"Great course"
"Accounting and Financial Statement Analysis",Congratulations!,5,"Very interesting I love it"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"thanks for all"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"It exceeded my expectations"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,good
"Accounting and Financial Statement Analysis",Congratulations!,5,great
"Accounting and Financial Statement Analysis",Congratulations!,5,Excellent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,excellent
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Great,I enjoy it"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Perfect detailing and presentation"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellent classes are held."
"Accounting and Financial Statement Analysis",Congratulations!,5,Good
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"very good experience with the course easy to learn  "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"That helps me a lot, appreciate it!"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellent "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"I enjoyed the graphic used in the presentation of the course"
"Accounting and Financial Statement Analysis",Congratulations!,5,"awesome course
"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"excellent very educative"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Highly Recommended. Amazing experience"
"Accounting and Financial Statement Analysis","Building a Cash Flow Statement in Practice",5,"Es excelente "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"The course materials are excellent as are easy to understand very nicely explained easily understandable very much appreciated thanks for your great work keep up the great work "
"Accounting and Financial Statement Analysis",Congratulations!,5,"The course was great, I have learnt a lot."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"excellent
"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellently covered all scenarios with great examples"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"It's good "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"very detailed and comprehensive structure"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"this course is very commendable. It discusses lessons in simplest way. Hope the 21 days will be extended and more can learn from this platform."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"it was so interesting"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Very informative and simple to comprehend "
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"It's very helpful as I'm an ACCA student. I am very hopeful that it will get me my first remote job."
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"You are top
"
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,
"Accounting and Financial Statement Analysis","Types of Equity - Practical Example",5,"Excellent course "
